"LTLA21_CODE","LTLA21_NAME","PPP","N10","NUTS1","POP","MIN"
"W06000001","Isle of Anglesey","26.9","22108","WALES","69931","0"
"W06000002","Gwynedd","72.81","30094","WALES","1258522","1"
"W06000003","Conwy","26.25","13826","WALES","119121","0"
"W06000004","Denbighshire","100.19","16744","WALES","95753","1"
"W06000005","Flintshire","32.67","15135","WALES","157058","0"
"W06000006","Wrexham","47.17","14011","WALES","134391","1"
"W06000008","Ceredigion","20.3","31324","WALES","70873","0"
"W06000009","Pembrokeshire","45.06","34659","WALES","126897","1"
"W06000010","Carmarthenshire","51.57","50909","WALES","189830","1"
"W06000011","Swansea","35.32","25060","WALES","248749","1"
"W06000012","Neath Port Talbot","46.07","17663","WALES","143780","1"
"W06000013","Bridgend","18.68","7147","WALES","148031","0"
"W06000014","Vale of Glamorgan","37.15","8906","WALES","136716","1"
"W06000015","Cardiff","23.61","13934","WALES","370051","0"
"W06000016","Rhondda Cynon Taf","24.09","13449","WALES","242163","0"
"W06000018","Caerphilly","46.45","15610","WALES","18002","1"
"W06000019","Blaenau Gwent","34.92","3671","WALES","68810","1"
"W06000020","Torfaen","24.84","5005","WALES","94232","0"
"W06000021","Monmouthshire","23.39","22252","WALES","96396","0"
"W06000022","Newport","20.24","24935","WALES","160105","0"
"W06000023","Powys","36.66","49696","WALES","133393","1"
"W06000024","Merthyr Tydfil","23.4","3019","WALES","60494","0"
